34.0205479452 - [512, 'merriss-s.txt']
33.2827586207 - [594, 'linder-e.txt']
32.4722222222 - [676, 'phanis-s.txt']
31.6293706294 - [1290, 'king-j.txt']
31.1338028169 - [2028, 'townsend-j.txt']
30.1560283688 - [2416, 'ermis-f.txt']
30.3285714286 - [2749, 'motley-m.txt']
30.0215827338 - [3290, 'meyers-a.txt']
30.0652173913 - [3307, 'gilbertsmith-d.txt']
29.2773722628 - [4079, 'south-s.txt']
29.3161764706 - [4262, 'benson-r.txt']
29.3555555556 - [4584, 'maggi-m.txt']
28.5746268657 - [5776, 'shapiro-r.txt']
28.3458646617 - [6823, 'williams-j.txt']
28.2954545455 - [6863, 'badeer-r.txt']
27.427480916 - [6863, 'bailey-s.txt']
27.0846153846 - [7786, 'saibi-e.txt']
27.1162790698 - [8348, 'panus-s.txt']
27.1640625 - [8491, 'dean-c.txt']
26.5039370079 - [9536, 'reitmeyer-j.txt']
25.8650793651 - [10386, 'griffith-j.txt']
25.36 - [11354, 'gang-l.txt']
25.2822580645 - [11435, 'solberg-g.txt']
24.7235772358 - [11734, 'may-l.txt']
24.0737704918 - [11855, 'slinger-r.txt']
23.7768595041 - [12005, 'arora-h.txt']
23.725 - [13070, 'mckay-b.txt']
23.7899159664 - [13658, 'pimenov-v.txt']
22.9322033898 - [13935, 'stepenovitch-j.txt']
22.9145299145 - [14645, 'swerzbin-m.txt']
22.2068965517 - [14767, 'donohoe-t.txt']
22.2434782609 - [15597, 'holst-k.txt']
22.0701754386 - [15886, 'quenet-j.txt']
22.185840708 - [16746, 'lokey-t.txt']
22.1517857143 - [18036, 'hodge-j.txt']
22.1711711712 - [18097, 'salisbury-h.txt']
21.3181818182 - [18119, 'staab-t.txt']
21.0091743119 - [18358, 'storey-g.txt']
20.7777777778 - [18963, 'wolfe-j.txt']
20.3177570093 - [19515, 'scholtes-d.txt']
20.2075471698 - [19685, 'ring-r.txt']
20.1523809524 - [20168, 'whalley-g.txt']
20.0288461538 - [20360, 'lewis-a.txt']
19.5339805825 - [20980, 'platter-p.txt']
19.5098039216 - [22467, 'keavey-p.txt']
19.198019802 - [22889, 'fischer-m.txt']
19.1 - [24553, 'rapp-b.txt']
18.696969697 - [26749, 'baughman-d.txt']
18.5510204082 - [26833, 'sanchez-m.txt']
18.2577319588 - [28752, 'dickson-s.txt']
18.2604166667 - [31738, 'ybarbo-p.txt']
18.1894736842 - [32396, 'hendrickson-s.txt']
17.2765957447 - [32425, 'whitt-m.txt']
17.2795698925 - [32503, 'mccarty-d.txt']
17.25 - [33992, 'ring-a.txt']
16.9450549451 - [37612, 'schwieger-j.txt']
16.9666666667 - [39292, 'lucci-p.txt']
16.0786516854 - [39639, 'zufferli-j.txt']
15.1363636364 - [43750, 'carson-m.txt']
14.1954022989 - [44533, 'geaccone-t.txt']
14.2441860465 - [45968, 'parks-j.txt']
13.9882352941 - [49173, 'semperger-c.txt']
13.9880952381 - [50276, 'thomas-p.txt']
13.8554216867 - [51659, 'shively-h.txt']
