0.544827586207 - [485, 'merriss-s.txt']
0.548611111111 - [563, 'linder-e.txt']
0.545454545455 - [640, 'phanis-s.txt']
0.549295774648 - [1222, 'king-j.txt']
0.553191489362 - [1921, 'townsend-j.txt']
0.557142857143 - [2289, 'ermis-f.txt']
0.561151079137 - [2604, 'motley-m.txt']
0.557971014493 - [3117, 'meyers-a.txt']
0.569343065693 - [3133, 'gilbertsmith-d.txt']
0.573529411765 - [3864, 'south-s.txt']
0.577777777778 - [4038, 'benson-r.txt']
0.582089552239 - [4343, 'maggi-m.txt']
0.586466165414 - [5472, 'shapiro-r.txt']
0.590909090909 - [6464, 'williams-j.txt']
0.595419847328 - [6502, 'badeer-r.txt']
0.6 - [6502, 'bailey-s.txt']
0.604651162791 - [7376, 'saibi-e.txt']
0.6015625 - [7909, 'panus-s.txt']
0.606299212598 - [8044, 'dean-c.txt']
0.611111111111 - [9034, 'reitmeyer-j.txt']
0.616 - [9839, 'griffith-j.txt']
0.612903225806 - [10756, 'gang-l.txt']
0.617886178862 - [10833, 'solberg-g.txt']
0.614754098361 - [11116, 'may-l.txt']
0.619834710744 - [11231, 'slinger-r.txt']
0.616666666667 - [11373, 'arora-h.txt']
0.621848739496 - [12382, 'mckay-b.txt']
0.627118644068 - [12939, 'pimenov-v.txt']
0.632478632479 - [13202, 'stepenovitch-j.txt']
0.629310344828 - [13874, 'swerzbin-m.txt']
0.634782608696 - [13990, 'donohoe-t.txt']
0.631578947368 - [14776, 'holst-k.txt']
0.637168141593 - [15050, 'quenet-j.txt']
0.642857142857 - [15865, 'lokey-t.txt']
0.648648648649 - [17087, 'hodge-j.txt']
0.654545454545 - [17145, 'salisbury-h.txt']
0.660550458716 - [17165, 'staab-t.txt']
0.666666666667 - [17392, 'storey-g.txt']
0.672897196262 - [17965, 'wolfe-j.txt']
0.679245283019 - [18488, 'scholtes-d.txt']
0.67619047619 - [18649, 'ring-r.txt']
0.682692307692 - [19107, 'whalley-g.txt']
0.68932038835 - [19288, 'lewis-a.txt']
0.686274509804 - [19876, 'platter-p.txt']
0.693069306931 - [21285, 'keavey-p.txt']
0.69 - [21684, 'fischer-m.txt']
0.707070707071 - [23261, 'rapp-b.txt']
0.714285714286 - [25341, 'baughman-d.txt']
0.721649484536 - [25421, 'sanchez-m.txt']
