0.72972972973 - [269, 'merriss-s.txt']
0.115646258503 - [313, 'linder-e.txt']
0.123287671233 - [356, 'phanis-s.txt']
0.131034482759 - [679, 'king-j.txt']
0.145833333333 - [1067, 'townsend-j.txt']
0.118881118881 - [1272, 'ermis-f.txt']
0.140845070423 - [1447, 'motley-m.txt']
0.148936170213 - [1732, 'meyers-a.txt']
0.178571428571 - [1741, 'gilbertsmith-d.txt']
0.122302158273 - [2147, 'south-s.txt']
0.217391304348 - [2243, 'benson-r.txt']
0.204379562044 - [2413, 'maggi-m.txt']
0.198529411765 - [3040, 'shapiro-r.txt']
0.185185185185 - [3591, 'williams-j.txt']
0.134328358209 - [3612, 'badeer-r.txt']
0.18045112782 - [3612, 'bailey-s.txt']
0.151515151515 - [4098, 'saibi-e.txt']
0.152671755725 - [4394, 'panus-s.txt']
0.153846153846 - [4469, 'dean-c.txt']
0.124031007752 - [5019, 'reitmeyer-j.txt']
0.1328125 - [5466, 'griffith-j.txt']
0.0944881889764 - [5976, 'gang-l.txt']
0.134920634921 - [6018, 'solberg-g.txt']
0.128 - [6176, 'may-l.txt']
0.137096774194 - [6239, 'slinger-r.txt']
0.121951219512 - [6318, 'arora-h.txt']
0.131147540984 - [6879, 'mckay-b.txt']
0.123966942149 - [7188, 'pimenov-v.txt']
0.125 - [7334, 'stepenovitch-j.txt']
0.109243697479 - [7708, 'swerzbin-m.txt']
0.135593220339 - [7772, 'donohoe-t.txt']
0.0940170940171 - [8209, 'holst-k.txt']
0.0775862068966 - [8361, 'quenet-j.txt']
0.0869565217391 - [8814, 'lokey-t.txt']
0.149122807018 - [9493, 'hodge-j.txt']
0.159292035398 - [9525, 'salisbury-h.txt']
0.142857142857 - [9536, 'staab-t.txt']
0.108108108108 - [9662, 'storey-g.txt']
0.154545454545 - [9981, 'wolfe-j.txt']
0.119266055046 - [10271, 'scholtes-d.txt']
0.111111111111 - [10361, 'ring-r.txt']
0.14953271028 - [10615, 'whalley-g.txt']
0.132075471698 - [10716, 'lewis-a.txt']
0.12380952381 - [11042, 'platter-p.txt']
0.153846153846 - [11825, 'keavey-p.txt']
0.165048543689 - [12047, 'fischer-m.txt']
0.127450980392 - [12923, 'rapp-b.txt']
0.148514851485 - [14078, 'baughman-d.txt']
0.16 - [14123, 'sanchez-m.txt']
0.131313131313 - [15133, 'dickson-s.txt']
0.132653061224 - [16704, 'ybarbo-p.txt']
0.19587628866 - [17051, 'hendrickson-s.txt']
0.1875 - [17066, 'whitt-m.txt']
0.157894736842 - [17107, 'mccarty-d.txt']
0.170212765957 - [17891, 'ring-a.txt']
0.172043010753 - [19796, 'schwieger-j.txt']
0.152173913043 - [20680, 'lucci-p.txt']
0.142857142857 - [20863, 'zufferli-j.txt']
0.144444444444 - [23026, 'carson-m.txt']
0.112359550562 - [23438, 'geaccone-t.txt']
0.113636363636 - [24194, 'parks-j.txt']
0.126436781609 - [25881, 'semperger-c.txt']
0.151162790698 - [26461, 'thomas-p.txt']
