0.72972972973 - [269, 'merriss-s.txt']
0.102040816327 - [313, 'linder-e.txt']
0.109589041096 - [356, 'phanis-s.txt']
0.11724137931 - [679, 'king-j.txt']
0.138888888889 - [1067, 'townsend-j.txt']
0.104895104895 - [1272, 'ermis-f.txt']
0.119718309859 - [1447, 'motley-m.txt']
0.13475177305 - [1732, 'meyers-a.txt']
0.171428571429 - [1741, 'gilbertsmith-d.txt']
0.115107913669 - [2147, 'south-s.txt']
0.210144927536 - [2243, 'benson-r.txt']
0.197080291971 - [2413, 'maggi-m.txt']
0.191176470588 - [3040, 'shapiro-r.txt']
0.162962962963 - [3591, 'williams-j.txt']
0.119402985075 - [3612, 'badeer-r.txt']
0.165413533835 - [3612, 'bailey-s.txt']
0.136363636364 - [4098, 'saibi-e.txt']
0.145038167939 - [4394, 'panus-s.txt']
0.130769230769 - [4469, 'dean-c.txt']
0.116279069767 - [5019, 'reitmeyer-j.txt']
0.1171875 - [5466, 'griffith-j.txt']
0.0787401574803 - [5976, 'gang-l.txt']
0.119047619048 - [6018, 'solberg-g.txt']
0.128 - [6176, 'may-l.txt']
0.129032258065 - [6239, 'slinger-r.txt']
0.113821138211 - [6318, 'arora-h.txt']
0.122950819672 - [6879, 'mckay-b.txt']
0.123966942149 - [7188, 'pimenov-v.txt']
0.116666666667 - [7334, 'stepenovitch-j.txt']
0.109243697479 - [7708, 'swerzbin-m.txt']
0.135593220339 - [7772, 'donohoe-t.txt']
0.0940170940171 - [8209, 'holst-k.txt']
0.0775862068966 - [8361, 'quenet-j.txt']
0.0869565217391 - [8814, 'lokey-t.txt']
0.149122807018 - [9493, 'hodge-j.txt']
0.159292035398 - [9525, 'salisbury-h.txt']
0.142857142857 - [9536, 'staab-t.txt']
0.108108108108 - [9662, 'storey-g.txt']
0.154545454545 - [9981, 'wolfe-j.txt']
0.146788990826 - [10271, 'scholtes-d.txt']
0.12962962963 - [10361, 'ring-r.txt']
0.168224299065 - [10615, 'whalley-g.txt']
0.150943396226 - [10716, 'lewis-a.txt']
0.152380952381 - [11042, 'platter-p.txt']
0.211538461538 - [11825, 'keavey-p.txt']
0.194174757282 - [12047, 'fischer-m.txt']
