0.6875 - [269, 'merriss-s.txt']
0.692307692308 - [313, 'linder-e.txt']
0.697183098592 - [356, 'phanis-s.txt']
0.702127659574 - [679, 'king-j.txt']
0.707142857143 - [1067, 'townsend-j.txt']
0.705035971223 - [1272, 'ermis-f.txt']
0.710144927536 - [1447, 'motley-m.txt']
0.715328467153 - [1732, 'meyers-a.txt']
0.720588235294 - [1741, 'gilbertsmith-d.txt']
0.725925925926 - [2147, 'south-s.txt']
0.723880597015 - [2243, 'benson-r.txt']
0.729323308271 - [2413, 'maggi-m.txt']
0.727272727273 - [3040, 'shapiro-r.txt']
0.725190839695 - [3591, 'williams-j.txt']
0.730769230769 - [3612, 'badeer-r.txt']
0.736434108527 - [3612, 'bailey-s.txt']
0.734375 - [4098, 'saibi-e.txt']
0.740157480315 - [4394, 'panus-s.txt']
0.738095238095 - [4469, 'dean-c.txt']
0.744 - [5019, 'reitmeyer-j.txt']
0.741935483871 - [5466, 'griffith-j.txt']
0.747967479675 - [5976, 'gang-l.txt']
0.754098360656 - [6018, 'solberg-g.txt']
0.760330578512 - [6176, 'may-l.txt']
0.758333333333 - [6239, 'slinger-r.txt']
0.756302521008 - [6318, 'arora-h.txt']
0.762711864407 - [6879, 'mckay-b.txt']
0.760683760684 - [7188, 'pimenov-v.txt']
0.76724137931 - [7334, 'stepenovitch-j.txt']
0.773913043478 - [7708, 'swerzbin-m.txt']
0.780701754386 - [7772, 'donohoe-t.txt']
0.778761061947 - [8209, 'holst-k.txt']
0.785714285714 - [8361, 'quenet-j.txt']
0.783783783784 - [8814, 'lokey-t.txt']
0.790909090909 - [9493, 'hodge-j.txt']
0.798165137615 - [9525, 'salisbury-h.txt']
0.796296296296 - [9536, 'staab-t.txt']
0.794392523364 - [9662, 'storey-g.txt']
0.801886792453 - [9981, 'wolfe-j.txt']
0.809523809524 - [10271, 'scholtes-d.txt']
0.817307692308 - [10361, 'ring-r.txt']
0.825242718447 - [10615, 'whalley-g.txt']
0.823529411765 - [10716, 'lewis-a.txt']
0.821782178218 - [11042, 'platter-p.txt']
0.82 - [11825, 'keavey-p.txt']
0.828282828283 - [12047, 'fischer-m.txt']
0.826530612245 - [12923, 'rapp-b.txt']
0.835051546392 - [14078, 'baughman-d.txt']
0.84375 - [14123, 'sanchez-m.txt']
0.842105263158 - [15133, 'dickson-s.txt']
0.840425531915 - [16704, 'ybarbo-p.txt']
0.838709677419 - [17051, 'hendrickson-s.txt']
0.836956521739 - [17066, 'whitt-m.txt']
0.846153846154 - [17107, 'mccarty-d.txt']
0.844444444444 - [17891, 'ring-a.txt']
0.842696629213 - [19796, 'schwieger-j.txt']
0.852272727273 - [20680, 'lucci-p.txt']
0.862068965517 - [20863, 'zufferli-j.txt']
0.860465116279 - [23026, 'carson-m.txt']
